Sample_ID,Long,Lat
52009_082018_56_Geyser,-123.564708,47.953049
52009_082018_57_Geyser,-123.564708,47.953049
52009_082018_58_Geyser,-123.564708,47.953049
52009_082018_59_Geyser,-123.564708,47.953049
52009_082018_60_Geyser,-123.564708,47.953049
52009_082018_61_Geyser,-123.564708,47.953049
52009_082018_62_Geyser,-123.564708,47.953049
52009_082018_63_Geyser,-123.564708,47.953049
52009_082018_64_Geyser,-123.564708,47.953049
52009_082018_65_Geyser,-123.564708,47.953049
52009_082018_66_Geyser,-123.564708,47.953049
52009_082018_67_Geyser,-123.564708,47.953049
52009_082018_68_Geyser,-123.564708,47.953049
52009_082018_69_Geyser,-123.564708,47.953049
52009_082018_70_Geyser,-123.564708,47.953049
52009_082018_71_Geyser,-123.564708,47.953049
52009_082018_72_Geyser,-123.564708,47.953049
52009_082018_73_Geyser,-123.564708,47.953049
52009_082018_74_Geyser,-123.564708,47.953049
52009_082018_75_Geyser,-123.564708,47.953049
52009_082018_76_Geyser,-123.564708,47.953049
52009_082018_77_Geyser,-123.564708,47.953049
52009_082018_78_Geyser,-123.564708,47.953049
52009_082018_79_Geyser,-123.564708,47.953049
52009_082018_80_Geyser,-123.564708,47.953049
52009_082018_81_Geyser,-123.564708,47.953049
52009_082018_82_Geyser,-123.564708,47.953049
52009_082018_83_Geyser,-123.564708,47.953049
52009_082018_84_Geyser,-123.564708,47.953049
52009_082118_1_Elk,-123.46932,47.870426
52009_082118_10_Elk,-123.46932,47.870426
52009_082118_11_Elk,-123.46932,47.870426
52009_082118_12_Elk,-123.46932,47.870426
52009_082118_13_Elk,-123.46932,47.870426
52009_082118_14_Elk,-123.46932,47.870426
52009_082118_15_Elk,-123.46932,47.870426
52009_082118_16_Elk,-123.46932,47.870426
52009_082118_17_Elk,-123.46932,47.870426
52009_082118_18_Elk,-123.46932,47.870426
52009_082118_19_Elk,-123.46932,47.870426
52009_082118_2_Elk,-123.46932,47.870426
52009_082118_20_Elk,-123.46932,47.870426
52009_082118_21_Elk,-123.46932,47.870426
52009_082118_22_Elk,-123.46932,47.870426
52009_082118_23_Elk,-123.46932,47.870426
